,GP,MIN,PTS,FGM,FGA,FG%,3P Made,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,TARGET_5Yrs
53,76,24.0,7.1,2.7,6.7,39.5,0.1,0.7,23.9,1.7,2.4,77.0,1.3,3.0,4.1,2.0,1.0,0.4,2.0,1
54,64,12.3,5.3,2.3,5.0,44.7,0.0,0.0,0.0,1.1,1.6,61.1,1.7,1.2,2.5,1.2,0.5,0.3,1.1,1
55,64,10.8,3.5,1.1,2.8,41.9,0.1,0.2,0.0,1.2,1.8,72.3,1.2,2.4,3.6,0.3,0.1,0.3,0.4,1
56,56,10.8,4.1,1.6,4.0,41.2,0.0,0.0,15.7,0.8,1.1,79.5,0.9,0.7,1.6,0.5,0.5,0.2,0.4,1
57,60,30.6,10.8,4.7,8.5,55.5,0.2,0.4,0.6,1.0,1.7,57.8,2.1,5.2,7.1,1.4,0.7,1.0,1.8,1
58,50,24.7,8.6,3.5,7.4,47.9,0.2,0.8,17.5,1.7,2.6,72.8,0.5,2.0,2.5,3.8,1.0,0.4,1.7,1
59,70,18.5,8.4,2.9,7.0,42.1,0.0,0.3,1.0,2.2,3.3,73.7,1.7,2.5,4.1,0.5,0.4,0.5,1.0,1
60,54,19.9,8.8,3.0,6.5,45.9,0.7,1.6,38.9,2.1,3.0,74.4,0.8,3.4,4.0,0.5,0.2,0.6,0.8,1
61,60,19.8,12.4,5.1,8.8,57.6,0.1,0.2,28.5,2.7,4.1,66.7,2.1,3.5,5.8,0.5,0.4,0.5,1.3,1
62,65,10.7,6.2,2.5,5.5,43.4,0.0,0.0,20.2,1.6,2.1,81.4,0.6,0.7,1.2,1.2,0.5,0.2,1.3,1
63,65,29.1,11.5,4.3,10.8,40.1,0.6,1.9,38.6,2.0,3.0,70.0,1.2,2.9,4.1,3.1,1.2,0.1,2.2,0
64,49,15.2,6.6,2.7,6.8,37.3,0.6,1.9,20.6,0.6,1.0,63.1,0.3,1.1,1.4,2.7,0.7,0.0,1.8,1
65,88,32.0,13.9,4.7,9.7,49.8,0.5,1.4,37.3,4.0,4.5,91.7,1.4,4.4,6.0,4.4,1.0,0.4,2.1,1
66,42,13.4,3.1,1.1,3.4,34.2,0.3,1.0,0.6,0.8,0.9,78.4,0.7,1.7,2.5,0.9,0.3,0.0,1.0,1
67,20,16.5,4.3,1.8,4.3,38.3,0.0,0.0,5.8,0.8,1.1,69.2,0.6,1.8,2.3,1.3,0.5,0.3,0.8,1
68,68,10.9,4.1,1.5,2.9,51.2,0.0,0.0,8.6,1.4,2.0,70.8,1.1,1.4,2.4,0.3,0.5,0.2,0.6,0
69,48,11.8,4.6,1.8,4.7,39.4,0.5,1.6,4.1,0.4,0.9,52.0,0.2,0.7,1.0,1.7,0.4,0.0,0.8,1
70,69,12.1,7.4,2.6,6.0,41.0,0.3,0.6,0.0,2.5,4.1,66.0,1.3,1.4,2.5,0.5,0.2,0.2,1.4,1
71,62,15.5,4.9,2.3,4.8,48.7,0.3,0.7,0.0,0.4,0.6,59.0,1.3,2.6,4.0,0.8,0.5,0.5,0.8,1
72,52,10.9,4.7,1.8,3.6,49.2,0.0,0.0,0.0,1.1,1.7,60.4,1.7,2.2,3.9,1.1,0.5,0.4,0.7,1
73,58,22.1,6.3,2.7,5.7,46.8,0.7,1.7,29.6,0.7,0.8,76.2,1.1,2.6,3.6,1.0,0.8,0.5,1.0,1
74,81,36.1,11.3,4.1,8.7,45.3,0.5,1.4,29.9,2.3,3.3,70.0,1.8,5.1,6.7,2.6,0.8,0.2,2.0,1
75,47,10.5,4.9,1.8,4.1,43.9,0.0,0.0,23.5,1.2,1.4,86.0,0.9,2.0,3.0,0.2,0.3,0.3,0.6,1
76,46,12.9,3.6,1.3,3.8,35.7,0.6,2.0,19.5,0.4,0.3,92.8,0.1,0.6,0.8,2.3,0.6,0.0,0.8,1
77,60,8.2,2.7,1.0,2.3,44.5,0.4,1.0,51.2,0.5,0.6,77.8,0.2,0.8,1.0,0.9,0.3,0.0,0.5,1
78,66,7.1,1.5,0.6,1.6,37.7,0.0,0.0,13.4,0.2,0.4,57.2,0.6,1.2,1.7,0.3,0.3,0.3,0.4,0
79,66,16.1,4.6,1.7,3.4,50.2,0.3,0.5,0.0,1.3,1.9,67.7,2.0,2.8,4.7,0.3,0.3,0.5,0.8,1
80,73,42.1,18.8,7.4,16.5,41.7,0.2,0.9,19.2,3.9,5.2,76.4,2.6,4.1,6.9,5.9,1.9,0.3,2.9,1
81,38,15.7,4.0,1.8,3.5,51.4,0.0,0.0,6.0,0.5,0.8,72.6,0.7,1.3,1.9,2.1,0.6,0.1,1.0,1
82,25,21.3,5.8,2.1,5.0,42.8,0.8,2.3,35.3,1.0,1.3,70.4,0.4,2.9,2.9,2.9,1.1,0.2,1.3,0
83,69,16.4,6.5,2.6,6.1,42.5,0.2,0.6,18.1,1.0,1.6,65.7,1.6,3.3,4.7,0.4,0.4,0.3,0.9,1
84,91,29.1,8.1,3.6,5.9,58.5,0.1,0.0,0.0,1.3,1.9,70.2,2.1,2.8,4.7,2.2,1.4,0.2,1.7,1
85,107,31.6,15.4,5.9,12.3,48.1,0.6,1.7,11.2,3.3,4.8,67.2,1.9,4.0,5.8,3.6,1.2,0.5,3.2,1
86,85,19.1,7.0,2.7,5.4,49.4,0.5,1.3,41.0,1.2,1.5,79.5,0.6,2.1,2.6,2.2,0.6,0.0,1.2,1
87,72,14.2,8.2,2.9,6.4,44.2,0.0,0.0,36.6,2.4,3.1,76.0,0.6,1.5,1.9,1.5,0.7,0.2,1.9,1
88,57,17.7,4.0,1.4,3.0,43.8,0.4,0.9,32.8,0.7,1.1,74.8,0.4,1.6,2.2,2.3,0.7,0.3,0.7,1
89,63,21.0,7.1,3.0,7.9,39.2,0.2,1.0,38.6,0.9,1.1,76.5,0.5,2.0,2.4,2.4,0.8,0.0,1.0,1
90,22,8.7,2.7,1.0,2.9,36.5,0.4,1.5,19.4,0.3,0.5,63.9,0.7,0.7,1.3,0.6,0.5,0.1,0.5,0
91,79,18.7,7.2,2.7,7.0,39.3,0.2,0.8,7.0,1.5,2.4,69.6,1.1,2.2,3.2,1.4,0.7,0.3,1.3,1
92,40,5.7,1.4,0.6,1.4,41.0,0.0,0.0,0.9,0.1,0.1,71.1,0.3,1.0,1.3,0.1,0.1,0.2,0.2,0
93,66,23.7,9.8,3.8,7.6,51.1,0.3,1.0,25.6,1.8,2.8,71.4,1.2,2.5,3.5,1.9,0.8,0.4,1.4,1
94,47,11.8,4.9,1.9,4.4,43.9,0.3,1.3,0.0,0.8,1.1,76.0,0.6,0.8,1.4,1.1,0.5,0.1,1.0,1
95,75,29.2,12.2,5.1,10.3,48.9,0.0,0.0,7.9,2.5,3.7,63.6,1.7,3.3,4.9,2.9,1.3,0.3,1.3,1
96,51,10.6,3.5,1.4,3.2,43.4,0.6,1.6,30.4,0.3,0.5,75.8,1.1,2.6,3.6,0.2,0.2,0.1,0.5,1
97,44,21.4,6.4,2.2,6.7,33.3,0.0,0.1,0.0,2.5,3.3,74.4,0.9,1.9,2.8,1.7,1.6,0.3,1.8,0
98,63,15.0,4.6,2.1,4.8,44.1,0.0,0.0,18.2,0.6,0.9,68.7,0.9,1.5,2.2,1.1,0.6,0.2,0.8,1
99,37,6.8,3.5,1.3,3.2,41.5,0.4,1.2,22.0,0.5,0.6,84.3,0.0,0.3,0.4,2.3,0.2,0.0,1.2,1
100,86,21.9,9.4,3.2,7.7,43.0,0.5,1.5,25.3,2.0,2.7,73.7,0.7,2.6,3.3,2.8,1.1,0.4,1.7,1
101,61,20.0,11.7,4.9,11.9,39.9,0.0,0.0,15.9,1.8,2.9,69.7,1.9,2.8,4.2,2.2,1.2,0.4,3.3,1
102,66,23.6,11.0,4.3,8.6,50.0,0.6,1.7,31.7,2.3,3.0,78.7,0.6,2.8,3.2,3.2,0.9,0.7,2.4,1
103,68,21.0,7.2,3.3,6.5,49.6,0.0,0.0,0.0,1.0,1.8,50.8,4.2,4.6,8.6,0.3,0.5,1.4,1.0,1
104,71,7.7,3.2,1.2,2.2,53.5,0.0,0.0,22.4,0.8,1.2,66.7,1.3,1.1,2.1,0.1,0.1,0.3,0.5,1
105,52,17.3,5.0,1.8,4.4,41.5,0.5,1.9,18.0,0.7,0.9,80.2,0.9,2.5,3.3,1.1,0.6,0.1,0.7,1
106,81,31.9,14.9,5.4,10.2,54.5,0.6,1.7,31.7,3.2,4.8,61.0,2.1,5.1,7.4,0.9,1.1,0.9,2.3,1
107,85,22.4,10.9,4.0,8.4,49.7,0.6,1.9,7.3,2.5,3.3,76.9,1.1,3.7,5.3,1.2,0.5,0.5,1.1,0
108,32,7.7,2.1,0.9,1.8,48.9,0.0,0.0,0.0,0.3,0.5,51.7,1.0,1.1,2.1,0.1,0.1,0.5,0.7,1
109,14,3.8,0.8,0.3,1.0,34.5,0.0,0.0,22.5,0.0,0.1,63.2,0.3,0.4,0.6,0.0,0.0,0.1,0.1,0
110,69,9.8,5.4,1.8,4.3,41.0,0.1,0.2,24.8,1.3,1.7,76.9,0.6,1.4,2.0,0.5,0.5,0.3,0.7,1
111,69,20.1,5.9,2.3,4.5,49.3,0.2,0.3,11.7,1.2,1.8,59.4,0.6,2.1,2.8,3.1,0.5,0.6,1.5,1
112,71,16.2,4.5,2.1,4.0,48.4,0.0,0.0,4.4,0.7,1.5,59.8,3.1,4.5,7.6,0.2,0.4,1.5,0.6,1
113,85,27.2,10.0,3.6,9.7,35.1,0.9,2.7,55.3,1.6,1.8,87.3,0.3,2.4,2.5,4.1,1.3,0.1,1.4,1
114,66,11.6,3.9,1.6,3.3,46.1,0.5,1.7,22.5,0.4,0.8,46.5,0.7,1.3,2.1,0.4,0.3,0.1,0.8,1
115,61,11.8,3.2,1.3,3.2,42.8,0.1,0.5,5.7,0.6,0.7,71.6,0.5,1.2,1.7,1.5,0.5,0.2,0.8,1
116,50,17.3,6.7,2.4,5.2,46.4,0.0,0.0,11.3,1.5,2.1,70.3,1.2,3.0,4.3,0.8,0.3,0.3,0.7,1
117,60,11.5,3.1,1.5,3.9,40.7,0.0,0.0,7.9,0.2,0.3,73.9,0.8,2.3,3.1,0.4,0.4,0.2,0.3,1
118,76,9.9,3.1,1.3,2.3,53.8,0.1,0.3,1.5,0.6,0.9,66.6,0.7,1.2,2.0,0.4,0.4,0.1,0.5,1
119,80,25.8,11.2,4.4,8.8,51.3,0.5,1.2,25.0,2.3,3.0,75.1,1.8,2.8,4.5,2.2,0.9,0.3,1.6,1
120,49,3.7,1.3,0.5,1.3,40.2,0.0,0.0,14.5,0.4,0.7,67.5,0.1,0.3,0.4,0.2,0.1,0.0,0.2,1
121,74,20.0,6.5,3.0,6.4,49.4,0.0,0.0,2.4,0.8,1.1,69.2,1.4,4.5,6.2,0.7,0.2,0.5,1.0,1
122,80,25.6,9.9,4.1,9.0,46.0,0.2,0.9,4.2,1.7,2.2,76.9,0.6,2.2,2.9,3.5,0.6,0.5,2.4,1
123,79,13.1,5.5,2.3,5.8,39.7,0.0,0.4,18.9,0.8,1.1,75.7,0.3,0.5,0.8,3.3,0.8,0.0,1.3,1
124,44,8.6,2.1,0.7,1.8,40.8,0.2,0.5,31.4,0.5,0.7,75.6,0.5,0.4,0.8,0.3,0.2,0.1,0.4,0
125,44,7.1,1.7,0.8,1.9,41.5,0.0,0.0,9.5,0.2,0.3,64.1,0.3,0.6,0.9,0.2,0.3,0.1,0.3,1
126,44,12.6,5.6,2.2,4.8,43.5,0.7,1.8,29.3,1.0,1.4,70.4,0.3,1.6,1.8,2.6,0.7,0.0,1.2,1
127,59,18.0,8.5,2.9,6.8,42.9,0.7,2.2,15.3,2.2,3.0,71.9,0.9,1.6,2.4,1.0,0.6,0.3,1.4,1
128,53,12.1,5.2,1.7,3.7,48.0,0.7,2.1,0.0,1.2,1.6,75.4,0.2,0.7,1.0,1.5,0.6,0.0,1.8,1
129,67,13.9,8.0,3.2,8.0,40.5,0.4,1.3,26.3,1.0,1.3,83.1,1.1,1.7,2.8,0.6,0.5,0.6,0.7,1
130,61,21.4,10.2,3.5,7.5,44.7,0.4,1.2,0.3,3.2,4.6,66.6,1.7,3.4,5.2,3.1,1.6,0.2,1.8,1
131,56,23.1,8.4,3.1,7.0,44.1,0.2,0.8,29.5,2.0,3.0,67.9,1.1,2.8,3.8,1.0,0.6,0.4,1.7,1
132,61,11.7,3.3,1.3,2.4,54.4,0.1,0.3,15.6,0.5,0.5,86.6,0.3,1.0,1.3,0.5,0.2,0.1,0.4,1
133,39,14.6,3.2,1.2,3.2,38.1,0.1,0.7,22.3,0.7,1.3,66.0,0.5,1.4,1.8,1.4,0.6,0.2,0.8,1
134,51,13.4,4.0,1.8,5.0,34.6,0.7,2.1,37.3,0.2,0.3,77.7,0.8,2.0,2.8,0.2,0.4,0.3,0.4,1
135,53,10.6,4.2,1.6,3.8,44.0,0.1,0.2,15.3,0.6,1.2,64.6,0.8,1.5,2.2,0.6,0.3,0.1,0.9,0
136,83,28.4,11.8,4.2,10.4,40.3,0.9,2.7,32.7,2.3,2.5,93.0,0.2,1.5,1.7,4.3,0.6,0.1,1.6,1
137,69,22.6,7.6,3.1,9.7,29.7,0.6,2.2,50.5,0.8,1.2,70.8,0.3,1.6,1.7,6.2,1.4,0.0,1.6,1
138,35,14.3,4.7,1.5,3.2,45.7,0.0,0.0,16.4,1.5,2.1,71.4,1.1,3.0,3.6,0.6,0.2,0.2,0.8,1
139,67,32.5,14.2,5.4,11.7,47.3,0.6,1.9,14.4,2.8,3.9,73.0,1.2,3.1,4.6,2.6,1.1,0.4,2.0,1
140,70,26.2,12.7,4.8,10.8,43.8,0.0,0.3,33.1,2.4,2.7,92.1,0.9,1.9,2.9,4.0,0.7,0.1,2.2,1
141,63,15.9,9.4,4.1,8.7,46.2,0.4,1.3,8.9,1.0,1.5,76.3,0.5,1.4,1.9,1.8,0.6,0.3,1.4,1
142,53,13.5,5.0,2.0,3.8,51.0,0.1,0.4,11.6,0.8,1.2,73.3,1.7,2.2,3.7,0.1,0.4,0.2,0.5,1
143,73,18.7,11.8,4.7,8.9,53.9,0.4,1.0,24.3,2.0,3.2,63.9,1.1,2.4,3.5,3.2,1.1,0.3,2.2,1
144,74,28.8,8.9,3.2,8.1,38.9,0.7,2.1,35.2,1.7,2.1,72.4,1.0,3.5,4.3,2.9,1.7,0.4,1.3,1
145,55,15.7,3.7,1.3,3.6,37.2,0.0,0.1,15.8,1.0,1.2,85.8,1.0,1.7,2.6,2.0,0.5,0.2,1.2,0
146,62,14.7,6.3,3.0,6.3,49.1,0.3,0.8,11.1,0.7,0.9,75.1,0.6,1.2,1.8,1.6,1.1,0.0,0.6,1
147,56,15.0,5.7,2.1,5.1,39.6,0.8,2.1,44.0,0.8,0.9,79.5,0.2,0.9,1.0,2.9,0.2,0.0,1.6,0
148,46,15.7,7.3,2.8,6.3,45.6,0.8,2.5,57.4,0.5,0.6,79.5,0.5,1.2,1.7,1.6,0.4,0.1,0.9,1
149,27,7.3,2.7,1.0,2.3,41.8,0.4,1.1,24.9,0.5,0.9,65.4,0.6,1.2,1.8,0.1,0.2,0.0,0.4,0
150,63,23.4,10.4,3.8,7.8,49.9,0.7,1.6,29.9,1.6,2.3,70.4,0.9,2.9,4.0,1.4,0.7,0.4,1.0,0
151,73,20.0,5.6,2.1,4.7,44.1,0.8,2.2,34.4,0.8,1.0,73.5,0.4,1.6,2.1,1.5,0.6,0.2,0.8,1
152,56,9.8,2.5,0.9,2.5,39.2,0.1,0.2,23.8,0.4,0.6,62.0,0.4,1.4,1.9,1.1,0.3,0.4,0.7,1
153,72,19.3,5.0,2.0,5.0,40.4,0.1,0.5,25.3,0.9,1.6,48.4,0.7,2.0,2.9,1.1,0.5,0.2,0.9,1
154,53,12.1,6.4,2.7,6.1,43.4,0.4,1.2,34.2,0.8,1.0,76.3,0.3,0.6,0.9,1.6,0.2,0.0,1.4,0
155,41,8.7,3.4,1.2,3.1,39.3,0.2,0.9,13.7,1.1,1.4,74.7,0.2,0.4,0.7,0.7,0.3,0.0,0.5,1
156,39,6.5,1.7,0.6,1.6,37.7,0.4,0.9,0.0,0.3,0.5,67.4,0.5,0.7,1.1,0.1,0.1,0.0,0.2,1
157,91,35.9,12.8,4.7,12.1,38.3,0.5,1.5,46.1,2.5,2.3,125.4,0.5,1.8,2.5,9.4,1.0,0.2,2.9,1
158,71,14.6,6.1,2.2,5.5,39.2,0.2,0.7,25.3,1.5,2.2,72.9,1.3,1.5,2.5,1.5,0.8,0.1,1.3,0
159,56,11.8,3.7,1.6,3.5,44.5,0.1,0.5,13.3,0.6,0.9,66.8,0.5,1.4,2.0,0.9,0.5,0.2,0.9,1
160,56,22.0,9.5,3.8,8.5,44.0,0.6,1.9,54.2,1.3,1.9,66.0,1.0,2.5,3.5,1.2,0.4,0.3,1.3,1
161,84,21.3,8.5,3.2,7.0,46.4,0.2,0.8,42.3,1.8,2.5,79.5,1.0,1.5,2.8,2.3,1.3,0.1,1.6,1
162,44,15.8,6.3,2.3,4.3,51.5,0.6,1.7,37.5,1.0,1.3,73.8,0.9,1.9,2.8,0.8,0.4,0.3,0.9,1
163,71,27.9,13.4,5.0,12.0,39.4,0.5,1.8,40.4,2.7,3.6,76.0,0.7,2.6,3.4,6.2,1.7,0.3,3.2,1
164,54,14.1,4.4,1.9,3.8,48.7,0.2,0.4,3.6,0.7,1.2,60.8,0.5,1.3,1.7,1.1,0.5,0.1,1.1,1
165,50,12.0,3.1,1.2,2.8,43.6,0.2,0.7,9.3,0.5,0.7,70.0,0.9,2.4,3.4,0.9,0.5,0.1,1.0,1
166,87,28.1,10.8,4.3,9.6,44.9,0.5,1.6,35.0,1.6,2.3,71.5,1.0,3.0,4.2,2.9,1.2,0.3,2.0,1
167,11,4.8,1.5,0.5,1.4,37.2,0.0,0.0,36.0,0.6,0.7,79.7,0.1,0.4,0.6,0.2,0.0,0.1,0.3,0
168,85,27.5,9.5,3.8,7.8,51.3,0.3,0.8,0.0,1.9,2.8,66.8,2.4,5.2,8.1,0.6,0.8,1.1,1.1,1
169,59,11.7,4.6,1.8,4.0,45.1,0.1,0.2,19.8,0.9,1.4,68.2,0.5,0.9,1.7,0.5,0.3,0.3,0.6,0
170,51,16.3,7.0,2.6,7.0,38.0,0.5,1.6,11.3,1.2,1.5,73.9,0.5,1.5,2.0,2.3,0.4,0.2,1.7,1
171,50,13.4,3.4,1.3,3.4,36.2,0.4,1.1,31.2,0.6,0.8,67.6,0.4,0.9,1.3,1.5,0.5,0.0,0.7,0
172,86,23.3,7.7,3.0,6.8,44.8,0.6,1.8,35.6,1.1,1.6,68.9,1.3,1.6,3.1,2.1,0.7,0.9,1.4,1
173,75,33.0,18.3,6.8,14.1,48.9,0.0,0.3,4.9,4.8,6.0,84.6,2.4,3.4,5.9,3.1,1.1,0.2,3.0,1
174,56,18.4,10.5,3.8,7.7,50.0,0.1,0.4,16.8,2.8,3.8,78.3,1.2,1.7,2.7,1.2,0.6,0.4,1.9,0
175,68,18.6,8.4,3.4,6.3,52.7,0.4,1.0,35.1,1.1,1.8,66.3,0.8,1.4,2.4,2.2,0.8,0.3,2.0,1
176,72,6.6,1.4,0.6,1.3,44.6,0.0,0.0,29.8,0.2,0.4,65.2,0.5,1.3,1.8,0.4,0.2,0.2,0.6,1
